State,Year,Fuel_Consumption (Million Liters),Income (Crore INR),Fuel_Price (INR per Liter),Population,Vehicle_Type
Haryana,1965,51.37,134085.95,2.75,99381454,Heavy Vehicle
Haryana,1966,32.4,127162.35,2.9,65741616,Two-Wheeler
Haryana,1966,41.33,199190.56,2.9,7424817,Four-Wheeler
Haryana,1966,40.41,145191.26,2.9,55821895,Heavy Vehicle
Haryana,1967,61.45,39685.59,3.05,80472622,Two-Wheeler
Haryana,1967,86.63,108468.58,3.05,52573954,Four-Wheeler
Haryana,1967,30.92,160757.32,3.05,13302940,Heavy Vehicle
Haryana,1968,42.36,196019.57,3.2,78664771,Two-Wheeler
Haryana,1968,63.78,33015.47,3.2,49570696,Four-Wheeler
Haryana,1968,37.14,37733.25,3.2,29221818,Heavy Vehicle
Haryana,1969,35.61,148077.39,3.35,11417516,Two-Wheeler
Haryana,1969,83.86,67647.7,3.35,17602736,Four-Wheeler
Haryana,1969,65.65,35913.58,3.35,53660305,Heavy Vehicle
Haryana,1970,32.3,64715.76,3.5,21097284,Two-Wheeler
Haryana,1970,81.49,176901.29,3.5,49995297,Four-Wheeler
Haryana,1970,20.97,197631.28,3.5,19539688,Heavy Vehicle
Haryana,1971,69.81,111667.37,3.75,55038937,Two-Wheeler
Haryana,1971,55.33,66294.47,3.75,1147901,Four-Wheeler
Haryana,1971,75.37,192349.43,3.75,17651169,Heavy Vehicle
Haryana,1972,85.56,173666.44,4.0,90768395,Two-Wheeler
Haryana,1972,56.34,73988.7,4.0,76675024,Four-Wheeler
Haryana,1972,11.08,73542.4,4.0,98076714,Heavy Vehicle
Haryana,1973,96.51,189884.14,4.25,31408125,Two-Wheeler
Haryana,1973,83.96,89712.19,4.25,22689243,Four-Wheeler
Haryana,1973,79.41,140615.79,4.25,33402641,Heavy Vehicle
Haryana,1974,56.21,153457.74,4.5,12813965,Two-Wheeler
Haryana,1974,68.1,82552.71,4.5,80151207,Four-Wheeler
Haryana,1974,22.46,177281.86,4.5,95579919,Heavy Vehicle
Haryana,1975,52.57,77841.17,4.75,30440967,Two-Wheeler
Haryana,1975,60.44,83434.74,4.75,40167599,Four-Wheeler
Haryana,1975,36.84,80650.59,4.75,39320810,Heavy Vehicle
Haryana,1976,48.5,67988.51,5.0,83742498,Two-Wheeler
Haryana,1976,80.65,12639.42,5.0,51436963,Four-Wheeler
Haryana,1976,83.52,121745.55,5.0,43542382,Heavy Vehicle
Haryana,1977,68.1,2069.57,5.25,28768122,Two-Wheeler
Haryana,1977,1.88,139132.23,5.25,45834063,Four-Wheeler
Haryana,1977,1.91,32869.76,5.25,6529203,Heavy Vehicle
Haryana,1978,27.41,84401.04,5.5,25427331,Two-Wheeler
Haryana,1978,68.14,143038.6,5.5,14351204,Four-Wheeler
Haryana,1978,19.53,91459.11,5.5,34501067,Heavy Vehicle
Haryana,1979,10.24,6648.46,5.75,65240357,Two-Wheeler
Haryana,1979,37.65,28773.3,5.75,75210278,Four-Wheeler
Haryana,1979,25.4,152742.99,5.75,42535837,Heavy Vehicle
Haryana,1980,59.38,102619.64,6.0,41951896,Two-Wheeler
Haryana,1980,53.5,33317.97,6.0,98216129,Four-Wheeler
Haryana,1980,95.76,145771.91,6.0,1122895,Heavy Vehicle
Haryana,1981,48.23,103782.37,6.2,80677883,Two-Wheeler
Haryana,1981,76.69,184628.13,6.2,9555261,Four-Wheeler
Haryana,1981,8.16,91691.05,6.2,509396,Heavy Vehicle
Haryana,1982,82.06,61168.81,6.4,60405697,Two-Wheeler
Haryana,1982,40.84,92723.65,6.4,46801782,Four-Wheeler
Haryana,1982,45.27,69175.13,6.4,12392535,Heavy Vehicle
Haryana,1983,19.4,176644.36,6.6,65862475,Two-Wheeler
Haryana,1983,89.11,131782.38,6.6,38153142,Four-Wheeler
Haryana,1983,21.31,184380.63,6.6,68844649,Heavy Vehicle
Haryana,1984,1.97,2046.13,6.8,48278144,Two-Wheeler
Haryana,1984,23.88,142396.83,6.8,36294701,Four-Wheeler
Haryana,1984,11.56,120691.22,6.8,10524808,Heavy Vehicle
Haryana,1985,31.46,26445.41,7.0,77846822,Two-Wheeler
Haryana,1985,89.17,83119.48,7.0,17660298,Four-Wheeler
Haryana,1985,35.33,92971.87,7.0,44152026,Heavy Vehicle
Haryana,1986,31.74,84667.72,7.2,85272109,Two-Wheeler
Haryana,1986,21.26,15596.5,7.2,14008746,Four-Wheeler
Haryana,1986,75.69,74529.56,7.2,75298286,Heavy Vehicle
Haryana,1987,72.71,81096.16,7.4,68382304,Two-Wheeler
Haryana,1987,21.73,149915.48,7.4,34038908,Four-Wheeler
Haryana,1987,41.65,182399.15,7.4,30655831,Heavy Vehicle
Haryana,1988,62.6,130396.57,7.6,63421457,Two-Wheeler
Haryana,1988,43.0,60254.09,7.6,52701743,Four-Wheeler
Haryana,1988,65.49,14622.46,7.6,41307415,Heavy Vehicle
Haryana,1989,8.43,183008.5,7.8,4215348,Two-Wheeler
Haryana,1989,2.03,148048.2,7.8,76917902,Four-Wheeler
Haryana,1989,35.38,110721.09,7.8,63006697,Heavy Vehicle
Haryana,1990,95.03,139522.43,8.0,41732733,Two-Wheeler
Haryana,1990,15.25,7508.0,8.0,7986333,Four-Wheeler
Haryana,1990,43.84,43085.05,8.0,57627930,Heavy Vehicle
Haryana,1991,45.51,34193.94,9.4,65062506,Two-Wheeler
Haryana,1991,94.64,2801.6,9.4,97986520,Four-Wheeler
Haryana,1991,64.56,1248.26,9.4,19785909,Heavy Vehicle
Haryana,1992,64.99,87630.49,10.8,57872930,Two-Wheeler
Haryana,1992,27.49,134718.53,10.8,11542816,Four-Wheeler
Haryana,1992,4.67,18121.65,10.8,16036957,Heavy Vehicle
Haryana,1993,84.93,128721.61,12.2,44426981,Two-Wheeler
Haryana,1993,74.21,137350.49,12.2,45488733,Four-Wheeler
Haryana,1993,80.36,123424.73,12.2,44311754,Heavy Vehicle
Haryana,1994,25.78,141097.73,13.6,80833844,Two-Wheeler
Haryana,1994,57.16,119697.87,13.6,81496571,Four-Wheeler
Haryana,1994,13.13,87885.42,13.6,52228577,Heavy Vehicle
Haryana,1995,3.96,99231.48,15.0,30556541,Two-Wheeler
Haryana,1995,78.65,196827.49,15.0,78275695,Four-Wheeler
Haryana,1995,40.49,13639.65,15.0,99481644,Heavy Vehicle
Haryana,1996,50.32,168111.95,16.4,28780738,Two-Wheeler
Haryana,1996,71.61,115898.25,16.4,33721422,Four-Wheeler
Haryana,1996,51.74,110712.11,16.4,71400272,Heavy Vehicle
Haryana,1997,57.17,93928.15,17.8,23177238,Two-Wheeler
Haryana,1997,53.16,132435.25,17.8,52254983,Four-Wheeler
Haryana,1997,60.42,10704.79,17.8,59495246,Heavy Vehicle
Haryana,1998,98.22,47605.88,19.2,11714821,Two-Wheeler
Haryana,1998,74.96,173890.98,19.2,48082464,Four-Wheeler
Haryana,1998,10.49,70657.82,19.2,70629730,Heavy Vehicle
Haryana,1999,50.48,126287.8,20.6,89789803,Two-Wheeler
Haryana,1999,57.82,133698.92,20.6,73027241,Four-Wheeler
Haryana,1999,38.95,148780.03,20.6,15501823,Heavy Vehicle
Haryana,2000,55.71,82140.93,22.0,30068785,Two-Wheeler
Haryana,2000,84.13,118793.6,22.0,60156653,Four-Wheeler
Haryana,2000,42.16,132028.33,22.0,59975878,Heavy Vehicle
Haryana,2001,9.93,141823.65,24.8,20733397,Two-Wheeler
Haryana,2001,94.6,97362.9,24.8,76509501,Four-Wheeler
Haryana,2001,73.78,137255.01,24.8,72530656,Heavy Vehicle
Haryana,2002,35.47,174445.41,27.6,72320096,Two-Wheeler
Haryana,2002,69.16,54182.93,27.6,92459638,Four-Wheeler
Haryana,2002,2.66,170462.86,27.6,82934646,Heavy Vehicle
Haryana,2003,63.7,169114.54,30.4,76436837,Two-Wheeler
Haryana,2003,67.65,164439.21,30.4,33319380,Four-Wheeler
Haryana,2003,87.82,86204.35,30.4,6734850,Heavy Vehicle
Haryana,2004,33.53,183900.94,33.2,47066582,Two-Wheeler
Haryana,2004,56.53,68441.03,33.2,73101778,Four-Wheeler
Haryana,2004,78.66,28748.64,33.2,43623479,Heavy Vehicle
Haryana,2005,94.77,192111.48,36.0,20879436,Two-Wheeler
Haryana,2005,71.95,32315.14,36.0,87916116,Four-Wheeler
Haryana,2005,32.15,118789.9,36.0,65196790,Heavy Vehicle
Haryana,2006,67.94,23614.35,38.8,46201328,Two-Wheeler
Haryana,2006,29.8,157325.39,38.8,33136540,Four-Wheeler
Haryana,2006,91.51,5293.84,38.8,80429078,Heavy Vehicle
Haryana,2007,39.29,51497.73,41.6,93996165,Two-Wheeler
Haryana,2007,38.48,109430.43,41.6,26120214,Four-Wheeler
Haryana,2007,28.77,105499.27,41.6,51175522,Heavy Vehicle
Haryana,2008,5.24,71819.7,44.4,47067132,Two-Wheeler
Haryana,2008,55.22,71636.25,44.4,82982588,Four-Wheeler
Haryana,2008,27.65,5585.13,44.4,30115639,Heavy Vehicle
Haryana,2009,4.44,31151.45,47.2,61913167,Two-Wheeler
Haryana,2009,70.03,72737.7,47.2,86373059,Four-Wheeler
Haryana,2009,88.03,197910.07,47.2,52679493,Heavy Vehicle
Haryana,2010,19.47,25575.62,50.0,64915116,Two-Wheeler
Haryana,2010,81.32,125877.43,50.0,26791068,Four-Wheeler
Haryana,2010,23.11,11794.11,50.0,62648772,Heavy Vehicle
Haryana,2011,14.64,115705.84,52.0,20902402,Two-Wheeler
Haryana,2011,61.49,17388.59,52.0,14094047,Four-Wheeler
Haryana,2011,36.77,94316.56,52.0,98061029,Heavy Vehicle
Haryana,2012,19.87,44493.85,54.0,56533462,Two-Wheeler
Haryana,2012,90.09,77764.46,54.0,60667107,Four-Wheeler
Haryana,2012,99.91,117008.44,54.0,86255289,Heavy Vehicle
Haryana,2013,35.05,24293.81,56.0,88283993,Two-Wheeler
Haryana,2013,28.75,48889.02,56.0,55743525,Four-Wheeler
Haryana,2013,95.45,35975.84,56.0,24213105,Heavy Vehicle
Haryana,2014,25.64,25358.25,58.0,55627404,Two-Wheeler
Haryana,2014,24.9,176037.17,58.0,29685201,Four-Wheeler
Haryana,2014,18.4,141718.63,58.0,47386101,Heavy Vehicle
Haryana,2015,85.01,19475.91,60.0,53064510,Two-Wheeler
Haryana,2015,91.58,183489.87,60.0,22207532,Four-Wheeler
Haryana,2015,38.53,2753.94,60.0,81305313,Heavy Vehicle
Haryana,2016,33.41,177234.14,62.0,76344230,Two-Wheeler
Haryana,2016,32.43,72642.83,62.0,43239699,Four-Wheeler
Haryana,2016,63.96,120914.43,62.0,19116214,Heavy Vehicle
Haryana,2017,33.95,163135.44,64.0,63673409,Two-Wheeler
Haryana,2017,72.24,192130.24,64.0,29148327,Four-Wheeler
Haryana,2017,80.42,95135.64,64.0,3782675,Heavy Vehicle
Haryana,2018,10.47,12372.03,66.0,86617010,Two-Wheeler
Haryana,2018,13.17,168822.58,66.0,96883012,Four-Wheeler
Haryana,2018,79.03,62393.65,66.0,74481972,Heavy Vehicle
Haryana,2019,95.43,98670.72,68.0,81389838,Two-Wheeler
Haryana,2019,75.33,96523.21,68.0,78120219,Four-Wheeler
Haryana,2019,65.57,189499.08,68.0,71123804,Heavy Vehicle
Haryana,2020,36.88,57407.26,70.0,15029003,Two-Wheeler
Haryana,2020,91.89,2343.17,70.0,63475082,Four-Wheeler
Haryana,2020,53.93,183330.53,70.0,59550054,Heavy Vehicle
Haryana,2021,90.07,24410.42,73.0,18555944,Two-Wheeler
Haryana,2021,20.04,159241.75,73.0,53292841,Four-Wheeler
Haryana,2021,67.94,57328.73,73.0,47553029,Heavy Vehicle
Haryana,2022,97.2,195224.41,76.0,57789753,Two-Wheeler
Haryana,2022,37.06,46120.49,76.0,98567487,Four-Wheeler
Haryana,2022,79.18,19235.97,76.0,41389300,Heavy Vehicle
Haryana,2023,31.04,7493.65,79.0,98100048,Two-Wheeler
Haryana,2023,62.75,132832.61,79.0,14075618,Four-Wheeler
Haryana,2023,76.81,49889.58,79.0,34572284,Heavy Vehicle
Haryana,2024,35.55,180084.87,82.0,36767509,Two-Wheeler
Haryana,2024,54.91,127933.3,82.0,99540711,Four-Wheeler
Haryana,2024,63.07,34432.22,82.0,34465423,Heavy Vehicle
Haryana,2025,27.88,59004.98,85.0,31197792,Two-Wheeler
Haryana,2025,35.66,51996.46,85.0,4683408,Four-Wheeler
Haryana,2025,48.38,105584.42,85.0,73587941,Heavy Vehicle
Haryana,2026,21.92,114864.57,88.0,82491401,Two-Wheeler
Haryana,2026,87.23,118972.24,88.0,87795105,Four-Wheeler
Haryana,2026,71.18,98516.18,88.0,66312994,Heavy Vehicle
Haryana,2027,16.37,135697.06,91.0,72433595,Two-Wheeler
Haryana,2027,69.6,91110.36,91.0,94349849,Four-Wheeler
Haryana,2027,31.8,117670.67,91.0,44418156,Heavy Vehicle
Haryana,2028,18.16,69607.99,94.0,90590605,Two-Wheeler
Haryana,2028,53.25,40704.32,94.0,19159608,Four-Wheeler
Haryana,2028,85.19,166045.35,94.0,56155720,Heavy Vehicle
Haryana,2029,13.36,94535.45,97.0,2145252,Two-Wheeler
Haryana,2029,15.89,159712.75,97.0,79028816,Four-Wheeler
Haryana,2029,12.84,36033.98,97.0,87976509,Heavy Vehicle
Haryana,2030,83.34,151521.58,100.0,74825865,Two-Wheeler
Haryana,2030,55.7,137520.19,100.0,3814157,Four-Wheeler
Haryana,2030,63.48,143410.0,100.0,52060104,Heavy Vehicle
Haryana,2031,98.95,107265.74,102.0,14180076,Two-Wheeler
Haryana,2031,73.43,178875.69,102.0,34625757,Four-Wheeler
Haryana,2031,39.33,168060.65,102.0,57510509,Heavy Vehicle
Haryana,2032,98.93,137657.44,104.0,19152682,Two-Wheeler
Haryana,2032,61.31,183750.18,104.0,83549450,Four-Wheeler
Haryana,2032,21.59,154134.2,104.0,81489998,Heavy Vehicle
Haryana,2033,29.36,17835.63,106.0,40201425,Two-Wheeler
Haryana,2033,81.81,69257.65,106.0,68238974,Four-Wheeler
Haryana,2033,18.91,14440.93,106.0,32337583,Heavy Vehicle
Haryana,2034,89.61,174795.63,108.0,97445789,Two-Wheeler
Haryana,2034,91.57,172429.39,108.0,51467242,Four-Wheeler
Haryana,2034,85.22,27006.94,108.0,84299959,Heavy Vehicle
Haryana,2035,19.47,193031.79,110.0,50933342,Two-Wheeler
Haryana,2035,20.53,74382.44,110.0,47209369,Four-Wheeler
Haryana,2035,49.37,86187.55,110.0,66920841,Heavy Vehicle
Haryana,2036,9.64,84077.42,112.0,1418879,Two-Wheeler
Haryana,2036,92.62,165697.86,112.0,85586087,Four-Wheeler
Haryana,2036,91.03,184117.09,112.0,80221107,Heavy Vehicle
Haryana,2037,12.89,78158.17,114.0,96908460,Two-Wheeler
Haryana,2037,42.57,72791.71,114.0,22099050,Four-Wheeler
Haryana,2037,45.8,67710.44,114.0,28839781,Heavy Vehicle
Haryana,2038,99.95,168075.61,116.0,26887726,Two-Wheeler
Haryana,2038,1.02,68641.21,116.0,32147526,Four-Wheeler
Haryana,2038,39.92,2607.54,116.0,9769954,Heavy Vehicle
Haryana,2039,82.57,196547.12,118.0,61840452,Two-Wheeler
Haryana,2039,86.49,107009.94,118.0,5600475,Four-Wheeler
Haryana,2039,76.27,145315.11,118.0,19433638,Heavy Vehicle
Haryana,2040,79.32,124232.64,120.0,75339142,Two-Wheeler
Haryana,2040,28.95,159958.33,120.0,36930887,Four-Wheeler
Haryana,2040,78.12,191798.63,120.0,95247952,Heavy Vehicle
Haryana,2041,26.48,76915.14,123.0,38979900,Two-Wheeler
Haryana,2041,79.37,126219.46,123.0,54163585,Four-Wheeler
Haryana,2041,91.56,146808.48,123.0,26144003,Heavy Vehicle
Haryana,2042,82.44,150125.68,126.0,23095617,Two-Wheeler
Haryana,2042,40.91,3449.54,126.0,32415818,Four-Wheeler
Haryana,2042,74.99,84259.18,126.0,10980694,Heavy Vehicle
Haryana,2043,68.14,38921.18,129.0,48210145,Two-Wheeler
Haryana,2043,58.02,185925.3,129.0,18143518,Four-Wheeler
Haryana,2043,68.02,78761.64,129.0,70741475,Heavy Vehicle
Haryana,2044,53.31,65708.1,132.0,53633902,Two-Wheeler
Haryana,2044,68.27,149745.44,132.0,2299494,Four-Wheeler
Haryana,2044,96.98,84187.62,132.0,26008168,Heavy Vehicle
Haryana,2045,38.58,83348.92,135.0,29981901,Two-Wheeler
Haryana,2045,23.58,148474.02,135.0,51931207,Four-Wheeler
Haryana,2045,77.15,102319.31,135.0,96687900,Heavy Vehicle
Haryana,2046,91.28,21568.97,138.0,62227925,Two-Wheeler
Haryana,2046,53.91,114565.72,138.0,91221041,Four-Wheeler
Haryana,2046,98.72,98725.97,138.0,23948370,Heavy Vehicle
Haryana,2047,49.2,148568.29,141.0,45974254,Two-Wheeler
Haryana,2047,2.43,71184.67,141.0,47882413,Four-Wheeler
Haryana,2047,38.02,62654.82,141.0,91426552,Heavy Vehicle
Haryana,2048,27.25,32135.37,144.0,54534923,Two-Wheeler
Haryana,2048,8.97,25634.44,144.0,26358615,Four-Wheeler
Haryana,2048,82.2,128064.62,144.0,70019519,Heavy Vehicle
Haryana,2049,78.52,112547.27,147.0,9350673,Two-Wheeler
Haryana,2049,29.14,135909.37,147.0,79469315,Four-Wheeler
Haryana,2049,31.08,36226.36,147.0,38768852,Heavy Vehicle
Haryana,2050,19.0,22273.17,150.0,36045399,Two-Wheeler
Haryana,2050,80.24,157236.81,150.0,28785134,Four-Wheeler
Haryana,2050,22.81,14016.5,150.0,57494601,Heavy Vehicle
Himachal Pradesh,1950,97.51,40623.96,1.5,51041890,Two-Wheeler
Himachal Pradesh,1950,73.12,131391.59,1.5,59949822,Four-Wheeler
Himachal Pradesh,1950,90.96,94495.43,1.5,54742150,Heavy Vehicle
Himachal Pradesh,1951,11.3,92820.63,1.55,88866024,Two-Wheeler
Himachal Pradesh,1951,32.4,43328.42,1.55,66078852,Four-Wheeler
Himachal Pradesh,1951,15.19,116076.27,1.55,24340310,Heavy Vehicle
Himachal Pradesh,1952,1.16,42897.94,1.6,35536515,Two-Wheeler
Himachal Pradesh,1952,54.43,185275.1,1.6,6911988,Four-Wheeler
Himachal Pradesh,1952,67.15,176620.62,1.6,73886722,Heavy Vehicle
Himachal Pradesh,1953,79.47,4668.33,1.65,82102683,Two-Wheeler
Himachal Pradesh,1953,79.83,56839.52,1.65,95722005,Four-Wheeler
Himachal Pradesh,1953,24.7,64848.27,1.65,86617647,Heavy Vehicle
Himachal Pradesh,1954,98.27,75812.06,1.7,71486637,Two-Wheeler
Himachal Pradesh,1954,54.79,170964.85,1.7,84894786,Four-Wheeler
Himachal Pradesh,1954,43.66,133235.6,1.7,83836134,Heavy Vehicle
Himachal Pradesh,1955,72.87,100769.43,1.75,61133037,Two-Wheeler
Himachal Pradesh,1955,70.05,121791.19,1.75,16201442,Four-Wheeler
Himachal Pradesh,1955,79.99,10457.23,1.75,84053998,Heavy Vehicle
Himachal Pradesh,1956,62.72,140717.85,1.8,9869961,Two-Wheeler
Himachal Pradesh,1956,76.66,33677.2,1.8,41017160,Four-Wheeler
Himachal Pradesh,1956,22.37,195035.54,1.8,73131693,Heavy Vehicle
Himachal Pradesh,1957,80.84,46331.89,1.85,73842199,Two-Wheeler
Himachal Pradesh,1957,48.45,93189.42,1.85,29093742,Four-Wheeler
Himachal Pradesh,1957,46.3,107670.5,1.85,48273960,Heavy Vehicle
Himachal Pradesh,1958,53.38,7045.05,1.9,57227235,Two-Wheeler
Himachal Pradesh,1958,86.93,91053.2,1.9,78794207,Four-Wheeler
Himachal Pradesh,1958,16.63,112153.23,1.9,74346084,Heavy Vehicle
Himachal Pradesh,1959,80.93,118424.89,1.95,59219109,Two-Wheeler
Himachal Pradesh,1959,99.22,35019.67,1.95,55034835,Four-Wheeler
Himachal Pradesh,1959,88.04,184146.75,1.95,21878614,Heavy Vehicle
Himachal Pradesh,1960,64.15,92062.95,2.0,36292790,Two-Wheeler
Himachal Pradesh,1960,59.69,66071.78,2.0,23110025,Four-Wheeler
Himachal Pradesh,1960,23.25,183965.33,2.0,19893831,Heavy Vehicle
Himachal Pradesh,1961,38.48,75893.1,2.15,18519167,Two-Wheeler
Himachal Pradesh,1961,17.5,153773.95,2.15,96335968,Four-Wheeler
Himachal Pradesh,1961,3.98,142474.86,2.15,26852603,Heavy Vehicle
Himachal Pradesh,1962,61.41,21073.19,2.3,98674329,Two-Wheeler
Himachal Pradesh,1962,0.25,14773.61,2.3,92996182,Four-Wheeler
Himachal Pradesh,1962,69.35,141835.07,2.3,11978632,Heavy Vehicle
Himachal Pradesh,1963,30.38,120687.15,2.45,9589191,Two-Wheeler
Himachal Pradesh,1963,54.51,14897.14,2.45,87149891,Four-Wheeler
Himachal Pradesh,1963,54.22,126353.39,2.45,46252055,Heavy Vehicle
Himachal Pradesh,1964,60.02,176965.3,2.6,99738066,Two-Wheeler
Himachal Pradesh,1964,60.2,53926.67,2.6,20522866,Four-Wheeler
Himachal Pradesh,1964,3.2,50200.03,2.6,55226392,Heavy Vehicle
Himachal Pradesh,1965,83.23,82190.2,2.75,39033628,Two-Wheeler
Himachal Pradesh,1965,71.05,82331.14,2.75,23293705,Four-Wheeler
Himachal Pradesh,1965,81.91,112188.37,2.75,9114251,Heavy Vehicle
Himachal Pradesh,1966,33.65,128480.95,2.9,32527644,Two-Wheeler
Himachal Pradesh,1966,24.42,116026.88,2.9,99516020,Four-Wheeler
Himachal Pradesh,1966,5.78,155634.7,2.9,64180392,Heavy Vehicle
Himachal Pradesh,1967,68.79,185236.6,3.05,58353359,Two-Wheeler
Himachal Pradesh,1967,32.59,88830.81,3.05,17984411,Four-Wheeler
Himachal Pradesh,1967,91.32,161940.29,3.05,47386207,Heavy Vehicle
Himachal Pradesh,1968,65.65,184181.01,3.2,98799477,Two-Wheeler
Himachal Pradesh,1968,65.37,45223.37,3.2,10201625,Four-Wheeler
Himachal Pradesh,1968,16.06,106060.11,3.2,87783515,Heavy Vehicle
Himachal Pradesh,1969,46.14,169924.99,3.35,13715966,Two-Wheeler
Himachal Pradesh,1969,86.1,139198.35,3.35,27693225,Four-Wheeler
Himachal Pradesh,1969,8.9,195444.48,3.35,73434848,Heavy Vehicle
Himachal Pradesh,1970,45.93,33753.69,3.5,17991867,Two-Wheeler
Himachal Pradesh,1970,54.3,32812.15,3.5,92349846,Four-Wheeler
Himachal Pradesh,1970,61.41,83609.61,3.5,4265988,Heavy Vehicle
Himachal Pradesh,1971,63.72,95566.28,3.75,58229383,Two-Wheeler
Himachal Pradesh,1971,42.18,19676.82,3.75,31534834,Four-Wheeler
Himachal Pradesh,1971,48.34,129294.31,3.75,69055262,Heavy Vehicle
Himachal Pradesh,1972,49.7,2320.02,4.0,33147677,Two-Wheeler
Himachal Pradesh,1972,99.59,159100.0,4.0,35781856,Four-Wheeler
Himachal Pradesh,1972,19.63,144027.43,4.0,94033087,Heavy Vehicle
Himachal Pradesh,1973,80.92,125532.66,4.25,50212453,Two-Wheeler
Himachal Pradesh,1973,62.38,162152.71,4.25,98161943,Four-Wheeler
Himachal Pradesh,1973,16.76,164011.35,4.25,28056754,Heavy Vehicle
Himachal Pradesh,1974,26.44,20730.74,4.5,69265516,Two-Wheeler
Himachal Pradesh,1974,92.23,89420.16,4.5,80409545,Four-Wheeler
Himachal Pradesh,1974,8.83,81241.85,4.5,65223813,Heavy Vehicle
Himachal Pradesh,1975,61.8,150980.79,4.75,97197639,Two-Wheeler
Himachal Pradesh,1975,12.49,46875.95,4.75,65069286,Four-Wheeler
Himachal Pradesh,1975,86.26,68408.7,4.75,52796101,Heavy Vehicle
Himachal Pradesh,1976,39.0,4134.48,5.0,18176588,Two-Wheeler
Himachal Pradesh,1976,32.74,123660.87,5.0,57531499,Four-Wheeler
Himachal Pradesh,1976,52.8,112654.73,5.0,90944832,Heavy Vehicle
Himachal Pradesh,1977,74.14,52432.55,5.25,83114076,Two-Wheeler
Himachal Pradesh,1977,32.51,171599.21,5.25,10200932,Four-Wheeler
Himachal Pradesh,1977,55.62,58461.07,5.25,98180066,Heavy Vehicle
Himachal Pradesh,1978,99.76,69203.98,5.5,26707495,Two-Wheeler
Himachal Pradesh,1978,92.68,78498.32,5.5,94700292,Four-Wheeler
Himachal Pradesh,1978,33.61,188322.84,5.5,67190954,Heavy Vehicle
Himachal Pradesh,1979,33.53,35408.31,5.75,17495796,Two-Wheeler
Himachal Pradesh,1979,26.39,2210.38,5.75,79301475,Four-Wheeler
Himachal Pradesh,1979,49.72,21113.21,5.75,35978735,Heavy Vehicle
Himachal Pradesh,1980,4.9,162757.92,6.0,26220659,Two-Wheeler
Himachal Pradesh,1980,11.57,179351.11,6.0,56627302,Four-Wheeler
Himachal Pradesh,1980,47.58,50221.94,6.0,54327488,Heavy Vehicle
Himachal Pradesh,1981,5.46,114011.09,6.2,73164001,Two-Wheeler
Himachal Pradesh,1981,14.12,4603.81,6.2,7329204,Four-Wheeler
Himachal Pradesh,1981,89.54,74909.42,6.2,6321428,Heavy Vehicle
Himachal Pradesh,1982,21.02,40028.89,6.4,69819910,Two-Wheeler
Himachal Pradesh,1982,71.78,74108.18,6.4,87932974,Four-Wheeler
Himachal Pradesh,1982,56.46,52830.45,6.4,62214310,Heavy Vehicle
Himachal Pradesh,1983,41.2,123258.87,6.6,46232812,Two-Wheeler
Himachal Pradesh,1983,97.88,107876.69,6.6,47624808,Four-Wheeler
Himachal Pradesh,1983,0.99,142690.62,6.6,41864648,Heavy Vehicle
Himachal Pradesh,1984,79.47,177027.5,6.8,40160710,Two-Wheeler
Himachal Pradesh,1984,73.08,133250.92,6.8,60480858,Four-Wheeler
Himachal Pradesh,1984,92.99,155484.68,6.8,77633410,Heavy Vehicle
Himachal Pradesh,1985,95.97,6089.17,7.0,20073073,Two-Wheeler
Himachal Pradesh,1985,33.22,113338.65,7.0,79941877,Four-Wheeler
Himachal Pradesh,1985,82.7,55643.28,7.0,58901821,Heavy Vehicle
Himachal Pradesh,1986,31.56,107636.02,7.2,79231424,Two-Wheeler
Himachal Pradesh,1986,43.01,112218.15,7.2,70882463,Four-Wheeler
Himachal Pradesh,1986,83.87,176346.07,7.2,27464281,Heavy Vehicle
Himachal Pradesh,1987,11.79,51281.14,7.4,34825558,Two-Wheeler
Himachal Pradesh,1987,79.74,81006.31,7.4,36916042,Four-Wheeler
Himachal Pradesh,1987,46.95,138979.48,7.4,33565864,Heavy Vehicle
Himachal Pradesh,1988,37.61,135091.85,7.6,44995259,Two-Wheeler
Himachal Pradesh,1988,32.14,175585.95,7.6,11094517,Four-Wheeler
Himachal Pradesh,1988,85.88,131774.25,7.6,95277449,Heavy Vehicle
Himachal Pradesh,1989,20.65,28440.22,7.8,64024391,Two-Wheeler
Himachal Pradesh,1989,11.05,32002.63,7.8,61509025,Four-Wheeler
Himachal Pradesh,1989,82.54,116171.49,7.8,57707505,Heavy Vehicle
Himachal Pradesh,1990,57.71,121326.03,8.0,53398953,Two-Wheeler
Himachal Pradesh,1990,24.98,150228.74,8.0,28225936,Four-Wheeler
Himachal Pradesh,1990,33.58,45956.94,8.0,75628107,Heavy Vehicle
Himachal Pradesh,1991,67.58,1272.95,9.4,50506718,Two-Wheeler
Himachal Pradesh,1991,59.56,109911.03,9.4,69067894,Four-Wheeler
Himachal Pradesh,1991,94.55,179961.01,9.4,61850899,Heavy Vehicle
Himachal Pradesh,1992,89.74,20635.51,10.8,38105051,Two-Wheeler
Himachal Pradesh,1992,65.9,69080.46,10.8,6131771,Four-Wheeler
Himachal Pradesh,1992,24.29,172721.78,10.8,39386724,Heavy Vehicle
Himachal Pradesh,1993,19.46,11751.77,12.2,99795305,Two-Wheeler
Himachal Pradesh,1993,54.64,80147.96,12.2,67670734,Four-Wheeler
